'CurveControl.Analysis.MovingWeightData.hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.sqrt_cube_sub_regularized_mul_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.regularized_density_pointwise_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.integral_density_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.integral_regularized_density_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.hasDerivAt_length' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.deriv_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.deriv_regularizedTotal_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.MovingWeightData' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.MovingWeightData.hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.sqrt_cube_sub_regularized_mul_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.regularized_density_pointwise_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.integral_density_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.integral_regularized_density_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.hasDerivAt_length' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.deriv_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Analysis.deriv_regularizedTotal_le' depends on axioms: [propext, Classical.choice, Quot.sound]
