'CurveControl.regularizedNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.regularizedNorm_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.regularizedNorm_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.regularizedNorm_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.sqrt_le_regularizedNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.regularizedNorm_le_sqrt_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.regularizedNorm_sub_sqrt_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.sq_div_regularizedNorm_le_sqrt_cube' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.div_regularizedNorm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.sqrt_div_regularizedNorm_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.hasDerivAt_regularizedNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.continuous_regularizedNorm_parameter' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.tendsto_regularizedNorm_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.abs_regularizedNorm_sub_sqrt_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.tendsto_regularizedNorm_error_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
