'CurveControl.Geometry.tangentCoordChange_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.connectionCoefficient_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.trivializationAt_symm_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartMetricInner_line_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartMetricInner_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartMetricInner_product_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartMetricInner_separates' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.product_connection_metric_balance' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartChristoffelContraction_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.connectionCoefficient_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.tangentCoordChange_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.trivializationAt_symm_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartMetricInner_line_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartMetricInner_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartMetricInner_product_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartMetricInner_separates' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.product_connection_metric_balance' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.chartChristoffelContraction_product' depends on axioms: [propext, Classical.choice, Quot.sound]
