'CurveControl.Geometry.productMetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.metricVectorLength_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.metricVectorLength_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_inner' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_length_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_fst_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_snd_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_mfderiv_fst_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_mfderiv_snd_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.metricVectorLength' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.metricVectorLength_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.metricVectorLength_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_inner' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_length_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_fst_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_snd_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_mfderiv_fst_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CurveControl.Geometry.productMetric_mfderiv_snd_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
